CGATS.17

ORIGINATOR	"i1Profiler"
DESCRIPTOR	"RGB measurement"
CREATED	"January 06, 2026"
INSTRUMENTATION	"i1iSis"
MEASUREMENT_SOURCE	"Reflective"

NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
56	51.0	153.0	51.0	14.0514	24.3724	7.9821
57	51.0	153.0	102.0	15.9086	25.1268	17.4460
58	51.0	153.0	153.0	19.2260	26.5330	35.0338
59	51.0	153.0	204.0	24.2202	28.3953	61.5468
60	51.0	153.0	255.0	31.3636	31.2878	98.8712
61	51.0	204.0	0.0	23.6887	44.4395	8.2027
62	51.0	204.0	51.0	24.2653	44.5847	11.3242
63	51.0	204.0	102.0	25.9418	45.3536	20.7218
64	51.0	204.0	153.0	29.4097	46.8137	38.6224
65	51.0	204.0	204.0	34.4504	48.6154	64.9939
66	51.0	204.0	255.0	41.5565	51.6081	102.0812
67	51.0	255.0	0.0	37.6279	72.5082	12.9877
68	51.0	255.0	51.0	38.1545	72.7075	16.0413
69	51.0	255.0	102.0	40.0966	73.5531	25.4541
70	51.0	255.0	153.0	43.5877	74.9010	43.0506
71	51.0	255.0	204.0	48.3308	76.7334	69.4034
72	51.0	255.0	255.0	55.5008	79.5573	106.5720
73	102.0	0.0	0.0	6.3974	3.8100	1.3374
74	102.0	0.0	51.0	6.9654	4.0222	4.4802
75	102.0	0.0	102.0	8.7653	4.7448	13.7458
76	102.0	0.0	153.0	12.0688	6.0561	31.1290
77	102.0	0.0	204.0	17.0457	8.0608	58.1816
78	102.0	0.0	255.0	24.3073	10.9647	95.2612
79	102.0	51.0	0.0	7.5737	6.1814	1.7718
80	102.0	51.0	51.0	8.1938	6.4080	4.8539
81	102.0	51.0	102.0	9.8991	7.1042	14.2745
82	102.0	51.0	153.0	13.0321	8.3132	31.9126
83	102.0	51.0	204.0	18.3669	10.4531	58.5561
84	102.0	51.0	255.0	25.4621	13.2776	95.9982
85	102.0	102.0	0.0	10.9744	13.1377	2.8923
86	102.0	102.0	51.0	11.6782	13.4549	5.9551
87	102.0	102.0	102.0	13.5040	14.1931	15.5223
88	102.0	102.0	153.0	16.7780	15.5028	33.1860
89	102.0	102.0	204.0	21.8695	17.4614	59.4035
90	102.0	102.0	255.0	28.9467	20.3768	96.8867
91	102.0	153.0	0.0	17.7963	26.4894	5.1112
92	102.0	153.0	51.0	18.1044	26.4255	8.1603
93	102.0	153.0	102.0	19.9538	27.2116	17.4711
94	102.0	153.0	153.0	23.3663	28.5549	35.0525
95	102.0	153.0	204.0	28.4038	30.7165	61.8747
96	102.0	153.0	255.0	35.5367	33.5065	98.9278
97	102.0	204.0	0.0	27.8027	46.7302	8.4908
98	102.0	204.0	51.0	28.1543	46.6031	11.5549
99	102.0	204.0	102.0	30.0590	47.3233	20.8714
100	102.0	204.0	153.0	33.4977	48.8399	38.2482
101	102.0	204.0	204.0	38.6543	50.9803	65.3019
102	102.0	204.0	255.0	45.4841	53.6454	103.0864
103	102.0	255.0	0.0	41.8506	74.6810	13.0150
104	102.0	255.0	51.0	42.4360	74.8232	16.2813
105	102.0	255.0	102.0	43.9648	75.3765	25.6840
106	102.0	255.0	153.0	47.6393	76.9586	43.1853
107	102.0	255.0	204.0	52.7309	79.0161	70.0930
108	102.0	255.0	255.0	59.6171	81.7287	107.5063
109	153.0	0.0	0.0	13.9881	7.6945	1.6548
110	153.0	0.0	51.0	14.5417	7.9589	4.7759
111	153.0	0.0	102.0	16.2397	8.6022	14.0776
112	153.0	0.0	153.0	19.7423	10.0431	32.0014
113	153.0	0.0	204.0	24.6890	12.0306	58.9127
114	153.0	0.0	255.0	32.0435	14.9430	96.1051
115	153.0	51.0	0.0	15.0977	10.0623	2.1061
116	153.0	51.0	51.0	15.7250	10.3360	5.2188
117	153.0	51.0	102.0	17.4399	10.9318	14.4655
118	153.0	51.0	153.0	20.9280	12.3502	32.0660
119	153.0	51.0	204.0	26.0087	14.4203	58.8347
120	153.0	51.0	255.0	33.1212	17.2830	96.5370
121	153.0	102.0	0.0	18.6926	17.1109	3.2619
122	153.0	102.0	51.0	19.2970	17.3680	6.4485
123	153.0	102.0	102.0	20.9893	18.0798	15.7413
124	153.0	102.0	153.0	24.3308	19.3639	33.4203
125	153.0	102.0	204.0	29.2472	21.3281	59.7582
126	153.0	102.0	255.0	36.4418	24.2222	97.1618
127	153.0	153.0	0.0	25.3660	30.1431	5.4770
128	153.0	153.0	51.0	26.0111	30.6260	8.5928
129	153.0	153.0	102.0	27.5439	31.0816	17.8588
130	153.0	153.0	153.0	30.9455	32.4977	35.5086
131	153.0	153.0	204.0	35.9771	34.5975	62.1393
132	153.0	153.0	255.0	43.1326	37.3762	99.5137
133	153.0	204.0	0.0	35.3753	50.4446	8.8935
134	153.0	204.0	51.0	35.9588	50.8194	12.0141
135	153.0	204.0	102.0	37.4499	51.1815	21.1721
136	153.0	204.0	153.0	41.1301	52.8702	38.9824
137	153.0	204.0	204.0	46.3122	54.8617	65.9414
138	153.0	204.0	255.0	53.2319	57.5179	102.3623
139	153.0	255.0	0.0	49.1406	78.3633	13.4302
140	153.0	255.0	51.0	50.1917	78.9411	16.5925
141	153.0	255.0	102.0	51.7993	79.5357	25.8632
142	153.0	255.0	153.0	54.9998	80.6334	43.3300
143	153.0	255.0	204.0	59.8157	82.5681	70.0228
144	153.0	255.0	255.0	67.2629	85.5461	107.0938
145	204.0	0.0	0.0	25.6682	13.7242	2.3015
146	204.0	0.0	51.0	26.2494	13.9524	5.3848
147	204.0	0.0	102.0	27.8324	14.5747	14.5631
148	204.0	0.0	153.0	31.2931	16.0317	32.0673
149	204.0	0.0	204.0	36.3728	18.0255	58.7773
150	204.0	0.0	255.0	43.3314	20.7297	96.0593
151	204.0	51.0	0.0	26.8363	16.0497	2.6364
152	204.0	51.0	51.0	27.4521	16.3585	5.7420
153	204.0	51.0	102.0	29.2663	17.0811	15.2337
154	204.0	51.0	153.0	32.4219	18.3353	32.5572
155	204.0	51.0	204.0	37.3790	20.2604	59.0079
156	204.0	51.0	255.0	44.5351	23.1603	96.7085
157	204.0	102.0	0.0	30.3075	23.0712	3.8434
158	204.0	102.0	51.0	30.8973	23.2961	6.8732
159	204.0	102.0	102.0	32.6680	24.0714	16.2213
160	204.0	102.0	153.0	36.0743	25.4324	33.9028
161	204.0	102.0	204.0	40.9758	27.3732	60.6731
162	204.0	102.0	255.0	48.3009	30.3722	97.5529
163	204.0	153.0	0.0	36.9314	36.3537	6.0307
164	204.0	153.0	51.0	37.4356	36.3891	9.1228
165	204.0	153.0	102.0	39.2383	37.2518	18.6548
166	204.0	153.0	153.0	42.6458	38.5374	36.0994
167	204.0	153.0	204.0	47.8949	40.7045	63.2542
168	204.0	153.0	255.0	54.7111	43.4403	100.4845
169	204.0	204.0	0.0	46.8162	56.3131	9.3389
170	204.0	204.0	51.0	47.4708	56.6504	12.4448
171	204.0	204.0	102.0	49.3939	57.3875	21.7673
172	204.0	204.0	153.0	52.4685	58.5209	39.1472
173	204.0	204.0	204.0	57.7616	60.8198	66.0808
174	204.0	204.0	255.0	64.9359	63.5285	102.9337
175	204.0	255.0	0.0	61.3290	84.8528	14.4652
176	204.0	255.0	51.0	61.6582	84.7880	17.3340
177	204.0	255.0	102.0	63.5434	85.6687	26.7229
178	204.0	255.0	153.0	66.6311	86.7329	43.8093
179	204.0	255.0	204.0	72.0663	88.9840	71.3042
180	204.0	255.0	255.0	78.5774	91.4659	107.4733
181	255.0	0.0	0.0	41.6847	22.0186	2.9824
182	255.0	0.0	51.0	42.4677	22.3596	6.1285
183	255.0	0.0	102.0	44.2354	23.0649	15.6294
184	255.0	0.0	153.0	47.6516	24.3678	33.0962
185	255.0	0.0	204.0	52.4268	26.3005	60.0408
186	255.0	0.0	255.0	59.4191	29.0384	97.0797
187	255.0	51.0	0.0	43.1148	24.5286	3.4123
188	255.0	51.0	51.0	43.5153	24.5320	6.4937
189	255.0	51.0	102.0	45.3172	25.3955	15.9402
190	255.0	51.0	153.0	48.8121	26.6895	33.3719
191	255.0	51.0	204.0	53.8891	28.7576	60.1549
192	255.0	51.0	255.0	60.7953	31.5632	98.1032
193	255.0	102.0	0.0	46.2950	31.3045	4.4854
194	255.0	102.0	51.0	47.0689	31.6448	7.6107
195	255.0	102.0	102.0	49.0036	32.5077	17.2050
196	255.0	102.0	153.0	52.1639	33.7132	34.3742
197	255.0	102.0	204.0	57.2240	35.8415	61.5308
198	255.0	102.0	255.0	64.1218	38.5208	98.2262
199	255.0	153.0	0.0	53.0809	44.7041	6.7864
200	255.0	153.0	51.0	53.5766	44.8738	9.8527
201	255.0	153.0	102.0	55.6815	45.6432	19.3830
202	255.0	153.0	153.0	58.0975	46.5765	36.8126
203	255.0	153.0	204.0	63.7556	48.8957	63.3068
204	255.0	153.0	255.0	71.0721	51.7962	101.3264
205	255.0	204.0	0.0	63.3017	65.0002	10.1068
206	255.0	204.0	51.0	63.4907	64.9110	13.2100
207	255.0	204.0	102.0	65.4956	65.5744	22.6210
208	255.0	204.0	153.0	68.9005	67.0487	39.9694
209	255.0	204.0	204.0	74.0870	69.1996	67.0192
210	255.0	204.0	255.0	81.1724	72.0503	104.3292
211	255.0	255.0	0.0	77.3752	93.0957	14.8833
212	255.0	255.0	51.0	77.9632	93.0659	17.9193
213	255.0	255.0	102.0	79.5223	93.7064	27.0312
214	255.0	255.0	153.0	82.8857	95.0300	44.9121
215	255.0	255.0	204.0	87.9234	97.3348	71.5854
216	255.0	255.0	255.0	94.8684	99.7416	108.9526
END_DATA
